0.05 -1.03348751e+00 2.82680645e-05
0.1 -1.03349093e+00 3.78317265e-05
0.2 -1.03279105e+00 5.48501795e-05
0.3 -1.02791347e+00 7.23643031e-05
0.4 -1.01557787e+00 1.06438291e-04
0.5 -9.93989488e-01 1.39009610e-04
0.6 -9.64342065e-01 1.96901595e-04
0.7 -9.28454100e-01 2.26078050e-04
0.8 -8.89789497e-01 2.46143084e-04
0.9 -8.49259005e-01 3.00206531e-04
1.0 -8.09314753e-01 3.17427242e-04
1.25 -7.14924416e-01 2.99522282e-04
1.5 -6.33769324e-01 3.64199025e-04
1.75 -5.64987255e-01 4.83053399e-04
2.0 -5.08643406e-01 4.26461328e-04
5.0 -2.21293842e-01 4.69051261e-04
10.0 -1.11479559e-01 5.32677223e-04
